Communication_link,Power_save_mechanism,Generated_traffic,Transport_protocol,Packets_per_second,Sta_count,Uplink_delay,Downlink_delay,Uplink_pcktloss,Downlink_pcktloss,Uplink_thrpt,Downlink_thrpt,sta_nrg,ap_nrg,sta_overhead,ap_overhead
Down Link,Mix,Poisson,UDP,50.0,1,0.0,7.905,0.0,,0.0,10.3709,68.8669,422.88,7.40142,16.9084
Down Link,Mix,Full Buffer,TCP,30.0,3,0.0,33.2427,0.0,,0.0,22.554,77.4027,422.179,4.00053,14.2828
Up Link,Mix,Full Buffer,TCP,40.0,2,11.551,0.0,,0.0,6.44407,0.0,82.9172,420.665,4.05449,32.3887
Duplex,Mix,Periodic,UDP,40.0,1,13.953,96.804,1.57634,0.0675557,16.2051,10.6327,90.315,425.6,6.46071,17.3849
Down Link,Mix,Periodic,TCP,20.0,1,0.0,7.782,0.0,,0.0,11.5298,72.7667,424.794,8.05395,19.8843
Down Link,Mix,Full Buffer,TCP,10.0,2,0.0,17.031,0.0,,0.0,39.0349,64.2597,423.047,2.64827,11.5647
Duplex,Mix,Poisson,TCP,20.0,2,99.737,67.2225,1.20825,0.0274446,4.51129,2.8529,82.1747,423.858,8.58156,26.6616
Duplex,Mix,Periodic,TCP,10.0,2,85.644,53.0035,1.06348,0.0149017,5.32627,3.30142,83.3627,424.695,7.9345,25.0569
Duplex,Mix,Poisson,TCP,20.0,2,74.968,61.922,1.34458,0.0600781,5.079,2.84955,82.7343,423.96,8.35463,26.296
Duplex,Mix,Full Buffer,TCP,50.0,2,11.4635,34.442,0.664848,0.0,4.2508,22.6472,65.1222,419.76,2.1828,10.3061
Up Link,Mix,Poisson,UDP,50.0,3,2.49767,0.0,,0.0,5.14755,0.0,85.2158,420.781,6.66641,31.4794
Duplex,Mix,Periodic,TCP,30.0,1,4.233,5.387,0.625661,0.0200307,3.25453,10.4959,66.4266,417.355,5.69487,15.1378
Up Link,Mix,Periodic,UDP,20.0,3,2.52467,0.0,,0.0,5.66216,0.0,85.5297,421.374,7.11289,33.6275
Down Link,Mix,Periodic,TCP,10.0,3,0.0,18.556,0.0,,0.0,3.01421,81.9807,427.03,9.81491,40.1103
Duplex,Mix,Periodic,TCP,10.0,1,2.563,4.997,0.932314,0.0,3.39892,12.0402,65.7707,417.074,5.15891,14.0216
Down Link,Mix,Periodic,TCP,40.0,2,0.0,22.7355,0.0,,0.0,3.03242,69.2196,420.852,6.2907,20.1802
Down Link,Mix,Periodic,UDP,10.0,2,0.0,981.766,0.0,,0.0,4.61866,89.8296,422.866,9.8449,26.7829
Duplex,Mix,Full Buffer,TCP,10.0,1,6.586,18.325,0.223861,0.0,9.66458,38.0892,72.0046,419.297,3.52263,10.392
Down Link,Mix,Periodic,UDP,40.0,3,0.0,1024.84,0.0,,0.0,3.02769,106.658,424.688,11.8553,33.7279
Down Link,Mix,Poisson,UDP,50.0,4,0.0,1058.59,0.0,,0.0,2.34804,103.914,424.884,10.0688,32.6202
Duplex,Mix,Full Buffer,TCP,20.0,1,7.734,21.232,0.180369,0.0,9.53652,32.5351,74.1979,420.645,3.76521,10.9082
Down Link,Mix,Periodic,TCP,10.0,5,0.0,29.6248,0.0,,0.0,1.67368,79.5964,425.583,7.95332,35.9159
Up Link,Mix,Full Buffer,TCP,10.0,1,5.559,0.0,,0.0,17.8696,0.0,75.1717,416.806,3.2801,9.93629
Duplex,Mix,Full Buffer,TCP,50.0,1,6.164,17.027,0.165278,0.00771446,8.36633,40.6173,72.3114,420.389,3.73516,10.8272
Up Link,Mix,Poisson,TCP,30.0,3,33.153,0.0,,0.0,3.79004,0.0,89.9344,423.697,10.4249,44.1894
Down Link,Mix,Poisson,UDP,40.0,2,0.0,1073.39,0.0,,0.0,4.0788,88.0389,421.826,9.10182,25.1221
Down Link,Mix,Periodic,UDP,40.0,5,0.0,1667.49,0.0,,0.0,1.89018,110.178,425.338,12.0448,38.4582
Up Link,Mix,Full Buffer,UDP,20.0,4,3087.93,0.0,,0.0,31.6256,0.0,122.566,429.884,4.23375,27.9409
Up Link,Mix,Poisson,TCP,30.0,2,109.254,0.0,,0.0,4.67909,0.0,81.4435,419.079,8.17292,25.0987
Down Link,Mix,Poisson,UDP,40.0,4,0.0,863.439,0.0,,0.0,2.58857,103.734,425.728,10.465,33.849
Duplex,Mix,Poisson,TCP,30.0,4,39.175,44.502,0.907226,0.011411,2.72394,2.11073,89.4652,430.34,10.6135,47.6084
Duplex,Mix,Periodic,TCP,10.0,4,3.19775,3.75425,0.730656,0.0209752,2.10736,3.18271,83.7897,427.098,8.65071,41.7387
Duplex,Mix,Periodic,UDP,30.0,4,1126.43,834.161,20.0832,15.8248,3.48366,2.43102,99.607,430.325,12.1547,44.7488
Down Link,Mix,Periodic,TCP,40.0,4,0.0,21.3612,0.0,,0.0,2.15031,79.8743,425.726,8.55303,35.2413
Up Link,Mix,Poisson,TCP,20.0,5,144.856,0.0,,0.0,2.61183,0.0,104.497,424.781,13.7436,52.5261
Down Link,Mix,Poisson,TCP,40.0,5,0.0,32.128,0.0,,0.0,1.50299,78.2379,424.473,7.41216,33.3771
Duplex,Mix,Poisson,TCP,40.0,5,277.484,134.211,0.32818,0.251023,2.10856,1.45904,91.6241,432.147,11.5982,52.9214
Down Link,Mix,Poisson,UDP,30.0,2,0.0,1177.75,0.0,,0.0,3.87972,87.7531,421.701,8.93384,24.7712
Down Link,Mix,Poisson,TCP,30.0,4,0.0,23.4865,0.0,,0.0,2.1446,79.1169,425.63,8.23389,35.0003
Down Link,Mix,Periodic,UDP,20.0,4,0.0,896.207,0.0,,0.0,2.53783,103.729,425.526,10.4517,33.7348
Up Link,Mix,Periodic,UDP,50.0,1,8.126,0.0,,0.0,16.0518,0.0,81.7533,417.489,4.35434,14.0424
Duplex,Mix,Periodic,UDP,10.0,4,1045.05,712.467,21.5256,14.8771,4.04193,2.73746,101.726,433.571,12.6641,46.2027
Down Link,Mix,Poisson,UDP,30.0,3,0.0,1117.36,0.0,,0.0,3.0929,107.106,425.136,12.1708,34.645
Down Link,Mix,Poisson,TCP,30.0,5,0.0,38.4926,0.0,,0.0,1.5452,78.9963,424.758,7.5201,33.9125
Up Link,Mix,Poisson,UDP,30.0,5,2.9056,0.0,,0.0,3.31976,0.0,82.9603,421.197,6.1168,32.8975
Down Link,Mix,Full Buffer,TCP,10.0,2,0.0,17.885,0.0,,0.0,15.7498,83.8127,439.318,5.62563,19.3651
Up Link,Mix,Full Buffer,UDP,40.0,5,2746.98,0.0,,0.0,24.8226,0.0,112.333,429.789,4.36907,32.9278
Up Link,Mix,Full Buffer,UDP,40.0,1,3095.54,0.0,,0.0,45.9206,0.0,115.372,420.269,3.19831,10.309
Duplex,Mix,Full Buffer,UDP,50.0,4,3283.5,2183.29,101.649,53.9571,28.8491,6.13209,120.299,431.73,3.68472,28.173
Down Link,Mix,Periodic,UDP,30.0,1,0.0,7.887,0.0,,0.0,10.9854,69.5449,423.45,7.7531,17.5298
Up Link,Mix,Poisson,TCP,20.0,2,64.529,0.0,,0.0,4.87755,0.0,77.6101,419.161,7.55162,24.0907
Up Link,Mix,Poisson,TCP,30.0,4,84.2488,0.0,,0.0,3.47485,0.0,97.4186,424.518,11.5724,47.0213
Duplex,Mix,Full Buffer,TCP,10.0,5,104.714,100.942,0.175044,0.00256306,6.99939,11.1792,99.1369,451.253,6.78684,34.9896
Down Link,Mix,Periodic,TCP,30.0,3,0.0,21.293,0.0,,0.0,2.6179,73.0652,420.553,6.33263,22.3847
